,H2SO4,HCOOH,CCO_OH,RCO_OH,CCO_OOH,RCO_OOH,XN,XC,SO2,O1D,ALK1,BACL,PAN,PAN2,PBZN,MA_PAN,H2O2,N2O5,HONO,ALK2,ALK3,TBU_O,ALK5,ARO2,HNO4,COOH,HOCOO,BZNO2_O,MEOH,ALK4,ARO1,DCB2,DCB3,CRES,DCB1,NPHE,ROOH,BALD,PHEN,CO,MGLY,ACET,HNO3,ETHENE,GLY,BZ_O,ISOPRENE,R2O2,TERP,METHACRO,OLE1,ISOPROD,OLE2,MVK,CCHO,HCHO,RNO3,O3P,RCHO,MEK,PROD2,O3,HO2,RO2_N,MA_RCO3,C_O2,BZCO_O2,RO2_R,NO,NO2,NO3,CCO_O2,RCO_O2,OH,Hours_from_origin
0,7001549344808.213,675809268140.3386,8941913366431.742,5949455536113.59,6424187153855.0,4121035380695.324,1695803826172.7388,10343668603070.924,657223203349.6321,2.2364335666831536,507868603664.7523,759968287.1329281,2562766407580.282,2071687598818.7983,16077597417.035522,6809223244.620771,761325220508.0579,8022127704.106077,727280578.32862,229927776939.73352,226704056633.9245,2481.0353220225193,41630670108.49125,4345238155.529539,15673261952.44814,168837020409.79745,517018.28758006863,4.524522873996822e-09,119816750752.61377,123532802831.63467,21670118287.1998,245994352.76895168,79923468.73728839,123141389.64548853,2434866648.0388737,629846732.3558011,248951203195.3001,1179923476.7873802,70326669.34563538,26133958746131.836,2826242606.3292003,2488837025919.661,14101661573129.21,23331026428.02548,5701420639.18524,141296.4646309766,38070752.42021263,466999425.43506145,30004710.461658645,445528412.92423123,2841168526.273572,52342519.797369525,436520321.08152235,112408233.31673512,256256676803.44196,388774840471.27325,34795717916.17569,311204.66481646104,181720268754.59607,341093259645.7489,32591718157.07077,25954889395756.727,3007151407.17733,79467730.68171562,778691.2486775395,1462336961.86242,1409192.6016979886,1360724202.9795508,7018840513.467745,367668192310.1794,858971595.7749197,504252060.2929158,305894576.95181996,29129088.17137111,1
1,7056738746033.589,680634478389.6483,9008793552006.105,5991907215863.506,6480731071252.406,4155546527817.334,1708758707706.4504,10384072359778.115,655215393431.3469,2.2410304295964636,506990662920.24243,759946670.2293628,2569968604067.2944,2074987451778.2375,16128994789.297178,6828920855.063566,760579498327.4496,8118313042.5884075,730441775.0866966,229258122356.27255,226047813973.72968,2480.5088489978734,41519413711.6345,4333578016.046503,15750438995.347607,168329480812.00784,516602.0160010166,4.505224816386895e-09,119368914153.31789,123194963167.0885,21614459666.760494,245681935.50692433,79873344.13324577,122433083.05418053,2428555967.668084,626263102.4383686,247992794461.7516,1177249208.2832725,69941463.42946959,26158113190961.547,2820717555.526534,2487177285310.6714,14219544683703.043,23274197166.662888,5690510406.3235855,140694.93872855644,37959772.09097679,466345536.5786351,29876966.722484324,444347872.37592554,2834527661.6448154,52231892.76215282,435415307.3080751,112157292.2466917,255511392344.36682,388291513852.766,34752436943.94243,312032.6595821044,181088372318.9303,340156094700.4923,32494853420.53776,26008238205160.438,3007607630.7944283,79335783.16392499,777175.7486863048,1460067214.6341553,1406867.8318332173,1357584773.6456144,7040903462.204615,369540888825.9542,864569816.4076461,503329503.0581508,305031623.62914574,29193604.401558336,2
2,7111901545483.057,685457834093.2826,9075487846611.785,6034207787718.161,6537193320280.255,4189977003224.5396,1721718854855.0293,10424488437956.832,653234185288.9678,2.2456204732979943,506112705467.3706,759925339.8548931,2577158095672.5557,2078269176865.6724,16180334291.379736,6848598267.258888,759820376321.706,8215216643.113955,733598353.455869,228596653707.2207,225399454224.22327,2479.9927347263947,41409343867.61842,4322039367.763283,15827444754.42923,167824492035.6012,516181.87145378673,4.4860835263836475e-09,118926415769.5196,122860862806.10158,21559416061.729805,245372280.94207555,79823626.36068648,121732332.95039141,2422312303.5355296,622717563.338067,247041681572.27744,1174600932.3419094,69560234.31372039,26181082355767.156,2815243794.026931,2485469210483.252,14337433610292.857,23217925851.58152,5679726704.950588,140098.28119078086,37849823.48900297,465695571.71738577,29750355.87154713,443179097.2180387,2827953045.8799343,52122406.301790506,434318440.5244379,111908926.8882655,254773377241.28473,387811864132.91095,34710015268.88766,312860.35306911956,180461784581.72482,339232556969.56055,32399115714.2137,26061507874324.86,3008016367.142391,79205109.35453406,775668.3381450179,1457807590.8161426,1404552.7603363728,1354468067.0841582,7062945671.122578,371416356300.86743,870176433.0899849,502411384.8079775,304173412.4698346,29257659.183577333,3
3,7167038469036.985,690279383287.7373,9141997287734.402,6076358239649.964,6593573506228.973,4224326776424.398,1734684244190.1274,10464916800967.627,651278853042.1296,2.2502035409499843,505234865752.6899,759904286.0133696,2584334309817.781,2081532356026.4587,16231615881.265902,6868255481.478152,759048080074.7815,8312837944.230755,736750249.5841794,227943150085.85516,224758791525.71057,2479.4865359193354,41300435508.80088,4310619770.483534,15904278279.926239,167321987531.19968,515757.8652629622,4.467097007860512e-09,118489130558.76965,122530412569.32889,21504976319.955894,245065354.22318524,79774311.02491814,121039020.89667213,2416134389.7204113,619209535.5471884,246097694943.0898,1171978194.8383179,69182921.26112846,26202891501490.938,2809820529.8250375,2483714325304.2,14455329400174.328,23162201611.805622,5669066235.19205,139506.4305165821,37740891.177520245,465049447.5598968,29624862.4719175,442021856.92057014,2821443700.494688,52014042.90087667,433229620.030126,111663092.72726227,254042449337.3863,387335796249.441,34668432363.40719,313687.7230360389,179840381420.05286,338322265435.5205,32304479091.129,26114696583073.594,3008378301.0051622,79075680.97014177,774168.9615720264,1455557744.4909682,1402247.3830486978,1351373547.3167672,7084967662.701637,373294569413.5525,875791245.853337,501497575.2857597,303319839.2361723,29321253.259866327,4
4,7222150207397.57,695099172074.4705,9208322884630.781,6118359537595.844,6649871236341.688,4258595816793.834,1747654852282.564,10505357411590.14,649348705988.6348,2.254779479404626,504357274248.5346,759883499.2587397,2591496697484.919,2084776594785.1743,16282839430.348795,6887892464.961962,758262837989.7333,8411176342.791135,739897396.7588543,227297402533.60034,224125647860.891,2478.989833675773,41192664678.64075,4299316889.6296835,15980938653.676846,166821904630.95383,515330.0137182536,4.448263314086578e-09,118056938420.92865,122203527311.35208,21451129839.873833,244761122.57539973,79725394.03523263,120353031.6662935,2410021019.102066,615738454.1646931,245160673052.35538,1169380563.9091492,68809465.18042892,26223565393702.07,2804447011.1232395,2481914115358.6177,14573233053532.559,23107014093.54599,5658525888.014474,138919.32669554473,37632960.25317752,464407084.3745608,29500471.481515724,440875931.83874357,2814998682.252001,51906785.77632026,432148748.77410984,111419747.16800094,253318434984.98386,386863220934.3582,34627668746.58211,314514.7476320355,179224044613.84778,337424857262.8457,32210918724.363754,26167802554052.258,3008694108.530677,78947470.76744808,772677.561668018,1453317346.244132,1399951.6889167752,1348300700.6915767,7106969935.557693,375175502683.74774,881414055.3132805,500587950.4100896,302470804.4243587,29384387.228864215,5
5,7277237418083.555,699917244736.0881,9274465619562.395,6160212626363.377,6706086120137.299,4292784093821.9204,1760630655714.9702,10545810232088.648,647443086609.739,2.259348139486938,503480057622.7136,759862970.673351,2598644733046.723,2088001521855.0781,16334004731.944626,6907509155.2613945,757464880881.9183,8510231217.884357,743039726.4785702,226659213307.4784,223499852621.2906,2478.50223262139,41086008469.86362,4288128490.3450418,16057425018.382244,166324184305.5318,514898.3380019602,4.42958053753769e-09,117629723955.97601,121880125700.93204,21397866533.99717,244459555.17411315,79676871.60633922,119674252.96973738,2403971039.761014,612303767.4573346,244230461936.74597,1166807628.344911,68439808.4874109,26243128316154.78,2799122523.678561,2480070029348.086,14691145524296.543,23052353429.743492,5648102733.027973,138336.91091794122,37526016.314674795,463768405.4952885,29377168.218439322,439741112.5892869,2808617081.0222836,51800618.83280422,431075733.01224226,111178849.42053771,252601168559.6348,386394054484.6814,34587705920.78206,315341.40553610923,178612661500.367,336539986713.39795,32118410843.95187,26220824056012.273,3008964457.8910284,78820452.44162926,771194.0790930404,1451086080.761676,1397665.6582896267,1345249033.6183286,7128952976.658983,377059131136.5623,887044663.6435786,499682391.2118467,301626212.5593623,29447061.56784216,6
6,7332300727322.869,704733643846.0981,9340426449044.71,6201918430541.699,6762217769753.473,4326891577363.4062,1773611631090.399,10586275224265.309,645561368677.5139,2.263909376085649,502603338894.9674,759842691.8541912,2605777913905.663,2091206788595.7566,16385111508.924519,6927105463.053012,756654441538.5731,8610001910.423424,746177167.8993232,226028395186.03815,222881242197.5204,2478.0233585938013,40980444959.110695,4277052431.348752,16133736546.396292,165828770963.86575,514462.8636463544,4.4110468183694155e-09,117207376236.04572,121560130006.07932,21345176792.792953,244160622.92071488,79628740.20329551,119002575.45123526,2397983351.2201924,608904937.1235023,243306914777.85175,1164258996.1848726,68073895.10348666,26261604083691.33,2793846387.7479043,2478183480402.5005,14809067720953.967,22998210207.857536,5637794007.299193,137759.1258205268,37420045.427051105,463133337.53825766,29254938.358061638,438617199.4140234,2802298017.479963,51695526.604883015,430010482.1595816,110940360.37657514,251890492026.33508,385928218362.5055,34548526307.587265,316167.6758544568,178006124642.1046,335667324126.4922,32026932678.26909,26273759404867.73,3009190009.236024,78694600.63936156,769718.4538471876,1448863648.5796912,1395389.2666930482,1342218073.1290057,7150917247.542147,378945429598.735,892682873.8519666,498780784.7247021,300785972.7020707,29509276.64661067,7
7,7387340731831.221,709548410371.8728,9406206305021.736,6243477855356.405,6818265800266.727,4360918237871.771,1786597755043.6108,10626752349516.887,643702955476.2523,2.268463048175224,501727237581.28906,759822654.8022937,2612895760137.162,2094392068476.1587,16436159421.020048,6946681274.988529,755831754394.3269,8710487743.160038,749309649.0959641,225404770818.64423,222269659608.19586,2477.5528576385777,40875953153.99907,4266086660.1017847,16209872467.908209,165335612261.20007,514023.62033765845,4.392660331383578e-09,116789788589.6338,121243465900.6563,21293051452.019905,243864298.33678728,79580996.53556198,118337892.40279412,2392056901.2836723,605541436.8317621,242389891521.21588,1161734293.494076,67711670.30381404,26279016054607.938,2788617955.5169306,2476255847315.954,14927000507492.209,22944575443.3966,5627597104.046317,137185.91509793952,37315034.09546846,462501809.8612123,29133767.904210463,437504001.67044467,2796040641.4466753,51591494.23453261,428952908.54198027,110704242.5052849,251186254532.59753,385465638916.22217,34510113188.424385,316993.5382307952,177404331559.2077,334806554968.69574,31936462401.566124,26326606963950.57,3009371415.143324,78569890.845817,768250.6239571505,1446649763.5091088,1393122.4822876877,1339207364.5521302,7172863198.707247,380834373367.1842,898328490.6637073,497883022.8291824,299949997.67704463,29571032.746589936,8
8,7442358000484.871,714361583771.509,9471806096038.691,6284891787520.531,6874229830021.612,4394864046638.157,1799589004247.0679,10667241568875.316,641867278129.6926,2.2730090194593107,500851869829.6698,759802851.9467914,2619997814000.349,2097557056445.725,16487148071.123674,6966236456.115974,754997055149.9105,8811688004.35193,752437095.8995293,224788172114.60516,221664954139.171,2477.09039474758,40772512938.54927,4255229207.5149984,16285832044.074484,164844658936.23822,513580.6415646706,4.374419296952318e-09,116376858397.55936,120930062280.73634,21241481763.83191,243570555.43668196,79533637.52632466,117680099.78559753,2386190683.04717,602212752.4929817,241479258547.18375,1159233163.1003106,67353080.73469034,26295387142346.28,2783436609.3403997,2474288475716.3926,15044944704251.04,22891440553.079285,5617509563.050028,136617.22383964984,37210969.236710474,461873754.90316176,29013643.184515677,436401337.1623448,2789844129.53181,51488507.408268735,427902927.1484578,110470459.75416017,250488312023.68518,385006247077.8734,34472450647.17795,317818.97280327696,176807184434.9194,333957378949.9922,31846979080.220177,26379365151473.562,3009509321.011207,78446299.42944664,766790.5274340865,1444444154.3497884,1390865.27001078,1336216472.3270273,7194791252.514767,382725937482.64655,903981320.1332293,496989003.092005,299118204.569994,29632330.07677307,9
9,7497353075901.749,719173202085.1797,9537226708328.988,6326161096021.612,6930109480929.974,4428728976006.16,1812585355420.7837,10707742843060.87,640053794019.9034,2.2775471578444435,499977348545.1338,759783276.1297516,2627083639527.451,2100701468397.7407,16538077011.576363,6985770852.202349,754150580464.3325,8913601964.993488,755559433.5562617,224178439666.04425,221066981017.61993,2476.6356523971676,40670105021.8047,4244478183.460652,16361614591.640957,164355864633.3886,513133.9644078516,4.35632196685041e-09,115968486898.54822,120619851087.72934,21190459367.74713,243279369.58021897,79486660.29668984,117029095.95423084,2380383732.0104384,598918380.9729737,240574888288.07962,1156755263.5214024,66998074.26536193,26310739826719.188,2778301759.178586,2472282679160.4883,15162901088868.416,22838797329.919785,5607529061.306271,136052.99807909087,37107838.14814549,461249107.53715074,28894550.814378813,435309031.72089285,2783707683.904865,51386552.34519024,426860455.48258996,110238977.45322931,249796526869.40756,384549978101.9828,34435523519.1429,318643.9602598391,176214589876.18225,333119509189.85596,31758462626.68386,26432032434430.438,3009604365.120339,78323803.50502793,765338.1009989873,1442246562.216105,1388617.5885592278,1333244977.4813561,7216701820.801779,384620097446.7567,909641170.1993278,496098627.56177354,298290513.9066174,29693168.785636943,10
