,H2SO4,HCOOH,CCO_OH,RCO_OH,CCO_OOH,RCO_OOH,XN,XC,SO2,O1D,ALK1,BACL,PAN,PAN2,PBZN,MA_PAN,H2O2,N2O5,HONO,ALK2,ALK3,TBU_O,ALK5,ARO2,HNO4,COOH,HOCOO,BZNO2_O,MEOH,ALK4,ARO1,DCB2,DCB3,CRES,DCB1,NPHE,ROOH,BALD,PHEN,CO,MGLY,ACET,HNO3,ETHENE,GLY,BZ_O,ISOPRENE,R2O2,TERP,METHACRO,OLE1,ISOPROD,OLE2,MVK,CCHO,HCHO,RNO3,O3P,RCHO,MEK,PROD2,O3,HO2,RO2_N,MA_RCO3,C_O2,BZCO_O2,RO2_R,NO,NO2,NO3,CCO_O2,RCO_O2,OH,Hours_from_origin
0,2122483359795.4873,135472610758.59433,2396146671844.954,1954189565818.7312,819317997163.741,751015405537.9733,323102722043.61536,1004196215583.633,455377892210.1247,0.2501802829991673,303123586228.1741,277493495.3910139,544072467811.13904,373491945572.53955,5041379597.296384,2932735103.490336,245777178957.42966,5215603968.558678,304666502.8792215,192806778576.10687,191328141328.1309,1151.384998693016,34008249514.46433,3091881467.463408,5050489098.0457115,113485229807.88994,175495.27793702463,1.535401321329265e-09,81522777959.45103,90921546258.44368,8544350757.913312,73000205.07066393,22230621.003419776,52599373.64205615,1124813809.8152509,250429122.37699813,200499038249.30173,482749041.79368204,30167741.8007028,8508430515989.344,1120863411.0290425,1033700107483.3843,5532488239431.959,13992132804.235447,2228856453.2369914,47911.522188882795,24028438.53444867,116257148.92860995,20759338.136717808,267181913.6091259,1534037488.513796,23524133.853178926,249625628.76718006,66600924.83415494,169237947738.2758,133083613819.92967,16759564495.542011,47254.19303899108,132664218054.80284,222649002924.48804,24904633552.3574,2903462747071.178,158297495.97265786,24325448.753116865,302854.46192695637,299433852.66332,357342.8973055778,378509749.66994494,1794097069.3829083,120630975794.80803,315886270.008288,119978255.01872595,102441551.5320618,8989846.758667523,1
1,2141531806792.0454,136782346045.64014,2423217909733.7744,1975113787203.5332,832972826673.6362,762370948333.6824,325939489052.8654,1012856860292.361,454101586207.7942,0.2511892777198071,303608586664.8118,277486369.3956174,545623297802.7677,374161853795.82825,5058741283.646361,2942245837.646732,247087265517.47577,5285779930.463701,305935507.939752,192330326236.40204,190704670151.7878,1151.046483870082,33905691385.536484,3081645870.6209435,5072703846.691221,113476155206.46417,176043.64004090044,1.5311273605455633e-09,81284830707.32257,90630870220.71182,8512230717.365658,72873088.28221494,22212461.81084674,52353808.584953405,1120680721.5159707,249313767.80898982,200137222397.01175,481392170.754327,30033821.646376655,8580701444690.316,1118240794.7549813,1038278903179.8757,5582213886159.476,13955649799.364042,2225221403.0847855,47778.854125809914,23963785.950587794,116216889.09252967,20689172.315827608,266377204.7665118,1529871194.515386,23476572.7821213,249086333.38262856,66449548.73336196,168853016831.88834,133087865471.67926,16706399482.949533,47509.37301164953,132394878722.6159,221893092711.08893,24816537693.28863,2915172617008.774,159243022.71131966,24272422.240856394,302413.2843908137,300061031.8833948,357013.225532907,378333436.2764836,1802316129.5071583,121481784369.79892,318337999.54044765,120215741.61501703,102569944.61752158,8993827.88349616,2
2,2160585883706.955,138091885751.33316,2450313365628.225,1996042067408.3784,846706143462.1863,773775267481.8059,328777520149.5057,1021520444451.1016,452830704359.95825,0.2521986459571257,304077550819.03296,277479393.1492394,547170821861.44745,374832113439.7961,5076106041.957394,2951754730.762494,248386786744.03058,5356506802.327032,307196711.57378316,191853597043.4355,190089147348.6436,1150.7164243967084,33804212852.248882,3071521146.1575413,5094823969.713495,113466343763.26048,176586.80009579752,1.5268923448123482e-09,81047655386.65239,90343500809.04019,8480422421.792442,72746483.6476705,22194346.57811216,52110904.674526446,1116590781.7715828,248210136.37416387,199778432300.06693,480045870.22684693,29901379.702581394,8652236757279.585,1115635266.9932113,1042771170976.055,5631940949466.212,13919493735.937653,2221584778.1417446,47647.38277959762,23899732.728878405,116177895.61486892,20619710.519215412,265579630.0554252,1525752002.037421,23429485.080804102,248551225.46366566,66299496.23774388,168471873717.48135,133090773499.62708,16653944567.332546,47764.94992101534,132128019759.64429,221145790848.91483,24729479367.346626,2926886821786.765,160230924.8138915,24220156.180362348,301974.1845549704,300685381.95767057,356685.50259175035,378162986.7106125,1810538329.0206778,122334896152.67535,320792322.23633,120451441.58682556,102697049.68565081,8997521.00408911,3
3,2179645445174.8904,139401219610.7965,2477432799739.25,2016974258809.6936,860517389642.3112,785227897100.6582,331616809121.5548,1030186957623.9918,451565248065.09,0.2532081838040963,304530736318.8605,277472560.52653116,548714764452.8374,375502634687.19867,5093472247.74104,2961261481.151848,249675653160.313,5427782592.1835375,308449988.653339,191376707610.59854,189481347913.47183,1150.3945275229012,33703783927.156017,3061503934.1770506,5116848457.757382,113455770973.13327,177124.75103767845,1.5226952131686333e-09,80811270237.74864,90059323137.69966,8448914515.901848,72620361.58049862,22176272.04972085,51870590.90078634,1112542404.2818885,247117916.40163946,199422551282.6781,478709672.52056515,29770376.571643546,8723037307359.622,1113045998.4977117,1047177939034.3243,5681670073153.607,13883651590.242952,2217946259.456633,47517.07579386604,23836266.724906188,116140130.99162218,20550936.790708605,264788914.18323538,1521678585.1992404,23382856.040801853,248020201.55487797,66150730.21873665,168094397449.57965,133092314816.1921,16602177203.016706,48020.89044197062,131863552082.89928,220406953715.36444,24643429388.43064,2938602994968.3354,161259957.3801759,24168634.581994765,301537.1661674621,301306981.5398294,356359.77399145474,377998259.68890375,1818763585.7439346,123190264642.48656,323249002.6121183,120685394.82467537,102822883.46621644,9000923.51291056,4
4,2198710344452.1606,140710337243.846,2504575976456.7236,2037910215499.2043,874406009675.2834,796728373723.0469,334457349765.4598,1038856389330.8333,450305215534.1036,0.2542176962185383,304968395818.93225,277465865.6459582,550254864994.8898,376173330576.98505,5110838287.278535,2970765774.657175,250953779045.0206,5499605312.264704,309695220.33146507,190899770591.25906,188881052732.96335,1150.0805107736323,33604375560.922203,3051590978.254357,5138776396.473527,113444412332.47305,177657.48448398893,1.5185349557648943e-09,80575690096.73468,89778226420.14009,8417696345.038181,72494694.68398404,22158235.24007718,51632799.51711256,1108534067.131161,246036811.0494708,199069465110.10794,477383131.9289699,29640774.475271244,8793104062444.631,1110472199.417704,1051500219266.3647,5731401843473.537,13848110932.468245,2214305586.160763,47387.902345502574,23773376.0666489,116103558.29892786,20482835.654680315,264004795.58525452,1517649655.644426,23336671.45636286,247493162.7688673,66003214.676466994,167720469270.86307,133092466046.49968,16551075569.109533,48277.16264988179,131601388518.36276,219676434374.97244,24558359378.63511,2950318872993.741,162328865.6868643,24117841.880782656,301102.2319585652,301925899.7826782,356036.0807605537,377839112.9265462,1826991810.7550397,124047844581.26932,325707811.968584,120917637.4741776,102947460.57271548,9004033.12344335,5
5,2217780433801.9937,142019228167.51328,2531742663588.641,2058849792829.1865,888371450078.4086,808276236076.1337,337299135893.20593,1047528729080.2139,449050602194.81287,0.2552269965376214,305390777159.60846,277459302.9636644,551790877448.7999,376844117055.28174,5128202560.785123,2980267286.3805184,252221082513.7362,5571972996.201387,310932293.7916962,190422894736.61288,188288048505.99045,1149.7741020988985,33505959616.39435,3041779122.9010844,5160606971.647003,113432243421.31235,178184.99114581817,1.5144106064519115e-09,80340926704.56929,89500103851.14676,8386757917.170001,72369457.65835637,22140233.455369025,51397465.77986124,1104564310.6988275,244966536.86152908,198719062039.21628,476065823.8152483,29512537.186161354,8862438099121.535,1107913116.730204,1055739007650.0121,5781136792283.637,13812859904.680511,2210662552.233875,47259.83295669519,23711049.2005321,116068141.00017835,20415392.12252174,263227025.85377276,1513663961.624744,23290917.618641652,246970014.66559547,65856914.717827715,167349972679.47015,133091203630.58386,16500618555.774548,48533.73599914786,131341443818.49557,218954083212.59543,24474241753.785416,2962032289550.7056,163436389.8583379,24067762.901997697,300669.3848224954,302542195.59287083,355714.45936139266,377685402.6598025,1835222913.1230004,124907592197.09895,328168528.2695445,121148201.49903864,103070793.22543432,9006847.84993845,6
6,2236855564849.3594,143327881809.53888,2558932631703.713,2079792847034.0063,902413159168.7125,819871024902.2222,340142161335.6665,1056203966388.5709,447801401034.7386,0.2562359060007442,305798123519.48315,277452867.23307747,553322569835.1769,377514912922.48773,5145563484.843068,2989765682.0338125,253477485576.88928,5644883692.21738,312161102.41768724,189946184945.9571,187702127646.48798,1149.475038901645,33408508835.78974,3032065310.0392666,5182339462.672106,113419239983.22823,178707.2607982071,1.5103212489696349e-09,80106988993.31035,89224852482.34602,8356089866.308046,72244627.12360977,22122264.2414157,51164527.937559746,1100631735.125663,243906823.9157828,198371232852.5157,474757343.64119416,29385629.98385723,8931040598399.938,1105368033.7421114,1059895284560.9664,5830875400232.739,13777887198.313972,2207017003.043638,47132.83966281949,23649274.827279862,116033843.1636135,20348591.66532957,262455369.1209469,1509720287.139214,23245581.27278059,246450666.91092294,65711796.50485924,166982793455.59317,133088503953.84686,16450785746.531162,48790.58124133007,131083634703.79086,218239748502.00708,24391049702.472126,2973741170037.9043,164581267.62003013,24018382.889993522,300238.6274476281,303155919.650031,355394.94354476046,377536985.0416211,1843456799.622938,125769465084.54228,330630936.0286889,121377115.62137727,103192891.92491937,9009366.004719287,7
7,2255935588928.9536,144636287521.87277,2586145653523.1274,2100739234872.692,916530586830.9163,831512282783.017,342986419948.80206,1064882090806.9006,446557602919.25226,0.2572442540132319,306190673560.2624,277446553.41850793,554849723665.3429,378185639681.8703,5162919494.964803,2999260619.5219784,254722914106.78983,5718335462.783524,313381545.8914142,189469742324.52747,187123088208.1156,1149.1830678882613,33311996818.541214,3022446577.990891,5203973232.721563,113405377995.40433,179224.28258757535,1.506266001661677e-09,79873883357.86345,88952373117.3427,8325683417.145589,72120181.58402915,22104325.394889064,50933926.85859005,1096734998.226873,242857413.9244451,198025870869.38574,473457306.2909119,29260019.50717102,8998912841413.525,1102836267.8315742,1063970015093.3691,5880618099725.019,13743182033.87701,2203368831.4846416,47006.895543211875,23588041.93667304,116000629.48441088,20282420.19771483,261689601.65355325,1505817452.0479732,23200649.640277416,245935033.2394603,65567827.24947469,166618819747.7523,133084343478.25009,16401557400.42124,49047.67039362606,130827879868.42966,217533276935.90884,24308757173.22936,2985443534619.281,165762238.1258145,23969687.474257458,299809.96171269007,303767114.5900835,355077.56127259095,377393715.81817263,1851693374.4124448,126633422055.31082,333094825.98764396,121604405.2846414,103313765.27677765,9011586.180762403,8
8,2275020357382.0825,145944434594.17023,2613381503382.8667,2121688813332.5369,930723184303.2823,843199554001.1423,345831905614.9516,1073563091932.9504,445319196864.3878,0.2582518772247251,306568661568.23535,277440356.7286914,556372133589.9886,378856221602.5937,5180269047.498806,3008751750.3240356,255957297881.0672,5792326381.593484,314593528.94414335,188993664237.08243,186550733777.0154,1148.8979448171885,33216397991.39856,3012920057.326765,5225507737.350931,113390633739.94098,179736.04504811307,1.5022440313237114e-09,79641613904.26794,88682570191.2579,8295530353.641128,71996101.24157348,22086414.926345907,50705606.146252416,1092872813.3689551,241818060.94468135,197682871989.9707,472165345.1953136,29135673.82379747,9066056205316.14,1100317169.7427418,1067964149394.6018,5930365277702.334,13708734138.784878,2199717975.4658628,46881.975169806974,23527339.779987276,115968465.21463759,20216864.077596817,260929511.10065022,1501954309.8196595,23156110.381457694,245423031.06956357,65424975.18133522,166257942076.89752,133078698857.90265,16352914437.126434,49304.9766738451,130574099981.90291,216834514101.1504,24227338858.343025,2997137487537.1943,166978043.92377582,23921662.688157037,299383.3894313189,304375815.4582622,354762.33946492116,377255451.1203802,1859932537.290321,127499423141.76396,335559995.2129499,121830092.981446,103433420.47228426,9013507.250247769,9
9,2294109721854.119,147252312267.93884,2640639956710.6577,2142641439324.968,944990404001.4688,854932384406.1964,348678612246.58044,1082246959428.8875,444086170280.65546,0.2592586196755055,306932317589.28015,277434272.61568534,557889606712.634,379526585490.02783,5197610621.313747,3018238720.4008117,257180570576.67307,5866854534.70054,315796962.43013924,188518044366.79987,185984873383.72623,1148.6194336103536,33121687583.82454,3003482970.044519,5246942501.1702175,113374983848.18715,180242.53642719318,1.4982545344870867e-09,79410182680.74393,88415351661.79645,8265622986.045372,71872367.9891859,22068531.05628701,50479511.71029972,1089043947.2891724,240788529.25727093,197342134681.62097,470881111.55574083,29012562.195398618,9132472159413.807,1097810121.794246,1071878622995.968,5980117278265.518,13674533727.1212,2196064413.7156777,46758.053993573485,23467157.856459063,115937316.27016124,20151910.05104271,260174896.20088646,1498129748.459352,23111951.608169764,244914581.37712184,65283209.52634853,165900053380.05212,133071547014.05574,16304838420.24404,49562.47443288482,130322217704.10475,216143304910.36172,24146770174.775604,3008821218803.077,168227434.67606318,23874294.91730663,298958.91238855803,304982050.58696073,354449.29996648687,377122047.1908735,1868174185.3833976,128367429451.87688,338026246.5324319,122054198.41088589,103551863.04390816,9015128.34509591,10
