,H2SO4,HCOOH,CCO_OH,RCO_OH,CCO_OOH,RCO_OOH,XN,XC,SO2,O1D,ALK1,BACL,PAN,PAN2,PBZN,MA_PAN,H2O2,N2O5,HONO,ALK2,ALK3,TBU_O,ALK5,ARO2,HNO4,COOH,HOCOO,BZNO2_O,MEOH,ALK4,ARO1,DCB2,DCB3,CRES,DCB1,NPHE,ROOH,BALD,PHEN,CO,MGLY,ACET,HNO3,ETHENE,GLY,BZ_O,ISOPRENE,R2O2,TERP,METHACRO,OLE1,ISOPROD,OLE2,MVK,CCHO,HCHO,RNO3,O3P,RCHO,MEK,PROD2,O3,HO2,RO2_N,MA_RCO3,C_O2,BZCO_O2,RO2_R,NO,NO2,NO3,CCO_O2,RCO_O2,OH,Hours_from_origin
0,5568789314984.708,632767545264.2449,6444455641422.466,3971221460966.4077,5404073828089.526,3210939284231.871,1806123171353.7078,10615612562174.963,284652732054.9224,2.388990861888655,412493126451.1539,594241512.4389703,2636565606418.53,1930532971935.6582,19867018132.921547,7122751282.504922,484310460441.2237,12020051926.920002,1085981211.820505,186844759831.3873,84499180347.37883,1561.7384404947397,26183497271.990093,2079010767.3548195,18923288815.840034,76303640479.46289,320275.5018945551,3.4708798342497717e-09,59396842000.813515,60286875455.222,17458030026.418823,202052609.4086066,67750097.20330499,84728260.35705388,1584295533.1409152,455697428.0222945,99641416927.99786,855872585.7681793,58441422.42831625,17039267005351.059,1897817332.0200658,1625960901574.2422,19467231999272.38,7155805720.180954,5005022057.6704445,108426.33583717638,15241925.086601656,372420537.5933236,24418524.88672354,263253628.61399338,1395738671.8266523,32564398.525459476,360624614.60871667,62495031.635395266,130565342605.62961,256079644595.68338,25077357608.953026,345440.11228947394,82599757012.24013,166238153903.55936,17928160277.551514,27725390321025.49,2834172445.0894213,66174000.189392105,605691.5099410298,1150715792.7907171,1317506.4462521172,990001369.1430777,8769039978.442204,471151754162.47174,1125290134.8498142,379476280.8191407,201679129.63600597,39075536.65993456,1
1,5607518069681.469,637252734248.6144,6484073422334.821,3993334521572.086,5443999033969.093,3232342378340.048,1820084492641.5798,10658613391968.521,284185481879.1513,2.3947988694081936,411432191043.45044,594224861.7359107,2643615477783.0317,1932372748879.436,19934014678.18766,7145642912.927645,482682888618.2275,12174446492.39094,1090500944.9216692,186543085968.7813,84374351170.78416,1561.49810139324,26146768750.14583,2076128329.030348,19011612548.165867,75919059626.91849,319544.1346139738,3.4528399853750276e-09,59234256104.057495,60200577356.5377,17433283549.24809,201876559.7879858,67717880.66602701,84178317.11044961,1582015429.9394615,452743947.3012673,99097606756.95297,854644454.8054216,58089768.00469988,17015910093195.555,1895320686.4403336,1622157213300.4954,19630190703369.887,7144822404.835017,4998881968.0862255,107863.51592121526,15206324.755477233,371723961.936492,24299762.56957179,262842818.73306745,1393448248.179638,32511690.286332708,359680542.23866844,62445343.689445965,130230282323.24152,255770361015.43854,25092874867.556606,346543.1466063968,82267576342.28265,166050693852.25012,17900316652.647644,27792795047262.27,2831123352.573181,66070032.980713524,604158.0356630194,1147724034.634057,1314375.4776968125,986924497.1775647,8799853890.57926,473861900534.6294,1133225371.8728313,378312546.37760335,200715497.25406694,39129452.216106765,2
2,5646236646597.296,641737779197.6737,6523486153629.512,4015302309835.046,5483758823334.797,3253620702184.851,1834053141662.3813,10701634617664.537,283728409484.3115,2.400596069404425,410389281455.87177,594208356.5707964,2650643258954.578,1934187948225.1199,20000922747.03192,7168508295.916062,481059566173.4085,12330017929.047106,1095001596.5519924,186247959477.3026,84252353515.57755,1561.2586950707205,26110899423.388126,2073313775.558755,19099650479.913017,75537974502.13069,318816.7857099694,3.434961316346806e-09,59074578878.614334,60116274148.66429,17409112439.55862,201704400.30553192,67686344.36676915,83635187.66439633,1579786620.963204,449827229.9047932,98559321027.47624,853441624.846567,57742308.06331149,16992451946745.727,1892877860.9201388,1618401353510.2915,19793160066561.387,7134057434.410964,4992874255.674695,107305.71317754702,15171215.628431931,371031015.98206127,24182249.46778577,262440573.0639781,1391198375.538853,32459931.46370667,358745897.3091232,62397483.47141218,129900098693.8631,255466827919.22394,25108978450.856422,347645.72585514025,81939268643.1696,165868444250.36133,17873107136.818104,27860074346981.46,2828038843.7723117,65966736.711667225,602633.8361985566,1144744954.299152,1311261.3305136282,983866226.3109113,8830645354.53927,476576712279.7338,1141168101.9639316,377155179.7084714,199758318.75762898,39182237.09597561,3
3,5684945140691.039,646222702356.0916,6562695208011.771,4037126039367.0537,5523353636441.158,3274774892252.3115,1848029076089.696,10744676145207.23,283281419911.5583,2.4063821026241876,409364276976.0395,594191996.8838857,2657648335709.2827,1935978319921.531,20067738526.82798,7191346128.51574,479440775716.3242,12486763312.86157,1099482953.2383373,185959329407.88354,84133167849.05394,1561.0202597422876,26075883020.342434,2070566606.308113,19187402095.92631,75160354403.53389,318093.50362685655,3.4172421665761634e-09,58917765438.07173,60033951568.13582,17385512540.806946,201536114.4756947,67655487.03139415,83098777.32217883,1577608733.4622526,446946757.08981115,98026506988.17018,852263926.5431731,57398987.47935591,16968910903418.96,1890488519.8481343,1614693479654.4326,19956141115830.664,7123509217.777228,4986998149.120079,106752.8760820282,15136593.263486914,370341664.93070436,24065972.418315724,262046825.72534123,1388988753.1283443,32409115.542063255,357820616.984475,62351437.812298864,129574741984.98119,255168998908.76715,25125667115.39108,348747.79719780403,81614799536.18387,165691373949.90662,17846526512.68324,27927224050876.484,2824919944.9275975,65864098.14700512,601118.7792647934,1141778303.61328,1308163.7571849898,980826293.0241692,8861414807.152689,479296119373.2171,1149117864.689676,376004077.48430955,198807517.9488437,39233891.06766645,4
4,5723643644989.386,650707525869.7522,6601701940646.8955,4058806909549.148,5562783919537.203,3295805586273.6987,1862012253831.5872,10787737881031.459,282844420134.19794,2.4121566298938073,408357055415.3801,594175782.6261741,2664630145758.941,1937743657057.418,20134458307.405907,7214155143.537175,477826790083.9002,12644679826.875845,1103944815.2699087,185677144737.7231,84016773987.34901,1560.7828316073337,26041713080.77603,2067886305.411285,19274867142.079723,74786169218.77065,317374.33596418175,3.399680861293644e-09,58763772499.063255,59953594907.3677,17362479569.570683,201371684.4849703,67625307.07695399,82568991.82677373,1575481382.9968328,444102012.68570477,97499112182.0032,851111184.2370341,57059751.23268836,16945304705280.86,1888152313.340702,1611033731020.461,20119134781939.074,7113176109.48211,4981252864.26075,106204.95265914242,15102453.11021465,369655873.95993966,23950918.130277302,261661508.9811309,1386819069.3329914,32359235.74180774,356904635.37151057,62307193.12063656,129254162924.92596,254876828425.4361,25142939317.975372,349849.31076009705,81294134644.06198,165519451079.01465,17820569457.898964,27994240222674.47,2821767672.6823983,65762104.11065421,599612.7318718588,1138823849.1539183,1305082.5082406604,977804443.0824538,8892162703.810204,482020056027.5815,1157074213.8209808,374859141.53539556,197863021.96214697,39284414.43095463,5
5,5762332251013.565,655192271800.1132,6640507690247.678,4080346106197.7607,5602050125247.56,3316713423419.5723,1876002633015.9695,10830819731993.992,282417318631.0093,2.417919330664032,407367493107.5048,594159713.6357732,2671588175740.154,1939483792817.6086,20201078480.255684,7236934109.3488865,476217872266.27094,12803764624.273308,1108386989.7409925,185401354242.22333,83903151142.37793,1560.5464446743006,26008382983.376877,2065272345.1933498,19362045490.196938,74415389369.7105,316659.3298436723,3.382275739468066e-09,58612558227.06542,59875189058.47018,17340009130.14735,201211091.24290404,67595802.66636798,82045737.70119101,1573404175.0909834,441292484.96217024,96977084468.11353,849983216.5837466,56724544.63032392,16921650511068.27,1885868878.7730944,1607422228907.896,20282141905394.773,7103056417.302812,4975637603.059935,105661.89136232043,15068790.537349625,368973609.6548921,23837073.258973226,261284553.67064714,1384689003.8770247,32310285.08682392,355997884.06065464,62264735.40742125,128938312858.6044,254590271793.13083,25160793233.27669,350950.21886927966,80977239568.96521,165352642966.6669,17795230563.400684,28061119142255.375,2818583036.5685763,65660741.763781086,598115.5649931966,1135881377.6467981,1302017.3423578057,974800435.1270666,8922889452.285488,484748456962.70013,1165036713.1751175,373720281.21202374,196924762.42320934,39333807.9908797,6
6,5801011049169.661,659676962137.6718,6679113780278.132,4101744802284.517,5641152713076.781,3337499044554.9395,1890000171986.2773,10873921605357.9,282000024995.9053,2.4236699048229813,406395464901.34503,594143789.679042,2678521958486.3735,1941198597979.9614,20267595538.9556,7259681829.730123,474614275637.9295,12964014842.388676,1112809289.440894,185131906373.0908,83792277944.54054,1560.3111317450218,25975885941.48362,2062724184.5294871,19448937136.13643,74047985870.16719,315948.5317583786,3.365025154592206e-09,58464082099.60788,59798718522.932106,17318096715.602875,201054314.5505514,67566971.68627296,81528922.18262003,1571376705.0418878,438517666.1157956,96460372227.44899,848879836.6924112,56393313.253170125,16897964907750.365,1883637842.5302198,1603859076861.8706,20445163240577.156,7093148401.421605,4970151547.867034,105123.64111615373,15035600.82113311,368294840.3467178,23724424.3876489,260915888.8781353,1382598226.7547836,32262256.34715675,355100291.9031064,62224050.269596204,128627143496.34673,254309284991.75827,25179226743.618916,352050.47623007745,80664079997.26093,165190916080.7521,17770504334.65076,28127857326662.58,2815367039.904007,65559998.66087251,596627.1537103782,1132950695.1966488,1298968.0268274248,971814040.7634373,8953595402.154276,487481257199.13904,1173004938.0671103,372587412.9841112,195992675.2087879,39382073.07394683,7
7,5839680129035.959,664161618808.9564,6717521519825.289,4123004158474.147,5680092149620.234,3358163092336.3477,1904004829291.0186,10917043408754.006,281592449650.5979,2.429408068563436,405440844177.43445,594128010.4104818,2685431070351.633,1942887978536.8108,20334006078.10873,7282397143.4546385,473016243778.32965,13125427728.325596,1117211541.3563182,184868749192.42737,83684132497.6643,1560.0769229567331,25944215036.666107,2060241273.146924,19535542310.915024,73683930128.90413,315241.9867343701,3.3479274495486183e-09,58318304784.63812,59724167463.097084,17296737725.11109,200901333.10846356,67538811.79677384,81018453.17159177,1569398559.856872,435777052.2710623,95948923995.9382,847800852.8577267,56066002.9531135,16874263922118.459,1881458818.226523,1600344360873.0557,20608199461734.168,7083450283.316269,4964793865.645432,104590.1504835583,15002879.17128226,367619533.8510226,23612958.042114303,260555442.49712932,1380546401.1259828,32215142.14943823,354211785.6133697,62185123.01158817,128320607052.15784,254033824598.77567,25198237477.629494,353150.0400988415,80354621613.22829,165034235999.71835,17746385198.860744,28194451482183.87,2812120672.702434,65459862.37032709,595147.372237066,1130031618.4698496,1295934.326619185,968845038.1592572,8984280934.950169,490218396094.8403,1180978476.6580508,371460456.8735594,195066698.49256927,39429211.47057586,8
8,5878339579660.693,668646263685.4515,6755732204557.358,4144125323697.9,5718868908913.787,3378706211376.289,1918016563679.7656,10960185050167.043,281194503546.8507,2.435133554574025,404503502846.2116,594112375.5591314,2692315128966.496,1944551873362.8865,20400306794.025692,7305078924.160116,471424010756.8065,13288000431.921934,1121593575.829614,184611830283.34824,83578692386.68027,1559.8438467663605,25913363198.046375,2057823047.9656382,19621861291.787987,73323193995.33965,314539.73892646644,3.3309809950874144e-09,58175188025.25615,59651519691.394516,17275927457.291603,200752124.49811396,67511320.39613959,80514239.53361152,1567469317.1449413,433070144.9908564,95442688707.265,846746068.2478112,55742560.03617095,16850563031975.818,1879331410.5988579,1596878149616.0447,20771251167647.445,7073960241.363002,4959563702.19752,104061.36891700879,14970620.7248209,366947660.057403,23502660.747426264,260203140.85561517,1378533181.3929288,32168934.89715523,353332289.81912094,62147938.52475494,128018656040.30316,253763847585.5709,25217822804.553745,354248.8693545542,80048830052.77005,164882567389.1004,17722867515.028343,28260898506546.77,2808844918.926561,65360320.92759248,593676.1010895834,1127123984.3623092,1292916.0201644178,965893218.6913278,9014946350.606339,492959811389.5238,1188956925.0521395,370339340.52835137,194146774.8394866,39475225.45266794,9
9,5916989489748.684,673130918585.3069,6793747117502.998,4165109435628.1875,5757483472602.875,3399129048310.3667,1932035334096.679,11003346437893.172,280806097979.84894,2.440846112630951,403583311377.10864,594096884.6889105,2699173790755.3853,1946190252062.9062,20466494482.75548,7327726080.157375,469837801085.4089,13451730242.357588,1125955237.1445832,184361096725.9203,83475934734.14777,1559.6119297060914,25883323239.730114,2055468937.8609169,19707894593.196915,72965749631.66986,313841.83099609613,3.3141841512453377e-09,58034694546.16133,59580758724.302505,17255661128.81736,200606665.35240608,67484494.65108706,80016190.776258,1565588547.333967,430396449.5001098,94941615451.14066,845715281.728233,55422931.05982178,16826877177463.414,1877255212.1902695,1593460494682.167,20934318886624.133,7064676420.279791,4954460183.692276,103537.24551827293,14938820.5552461,366279188.4238941,23393518.969597526,259858909.45486596,1376558215.757393,32123626.846389096,352461727.0661938,62112481.448295094,127721243355.54738,253499311475.46356,25237979861.43928,355346.9255482879,79746671003.91191,164735874004.7033,17699945569.813026,28327195495771.703,2805540748.9219704,65261362.40700778,592213.2197132171,1124227637.9118762,1289912.8830560981,962958379.1320914,9045591980.49036,495705445339.25525,1196939893.5410104,369223994.1864688,193232848.51910597,39520117.74631419,10
